slice,unique_clusters_Zeng,unique_clusters_Mac,value,unique_clusters_Mac_prop,detected_cluster_difference,matching_reciprocal
1,288,296,0.05412516444277392,0.06285835633892546,-8,0.2890109470953961
2,324,318,0.06089080999812065,0.06753026120195371,6,0.29242641535204533
3,365,414,0.06859612854726554,0.08791675514971331,-49,0.24236704785167093
4,418,473,0.07855666228152602,0.10044595455510724,-55,0.38941932764253345
5,442,465,0.08306709265175719,0.0987470800594606,-23,0.3314963718376152
6,404,426,0.07592557789889119,0.09046506689318326,-22,0.33545584969439696
8,396,351,0.07442210110881413,0.07453811849649607,45,0.3051539246452706
9,424,283,0.07968426987408382,0.06009768528349968,141,0.34995386845920656
10,410,503,0.077053185491448975,0.10681673391378212,-93,0.1946545136124821
11,382,419,0.0717910167261793,0.08897855170949247,-37,0.28100993919976697
12,345,362,0.06483743657207292,0.0768740709280102,-17,0.22306139613120268
13,342,430,0.06427363277579402,0.09131450414100659,-88,0.4272480992746657
14,475,306,0.08926893441082503,0.06498194945848375,169,0.47985134948642627
15,595,451,0.11182108626198083,0.09577404969207899,144,0.35319720703753044
16,649,467,0.12196955459500095,0.09917179868337227,182,0.29132998705009794
17,790,566,0.148468333020109,0.12019537056699936,224,0.17246028489360454
18,903,585,0.16970494267994737,0.12423019749416012,318,0.11795252225519288
19,1208,933,0.22702499530163503,0.1981312380547887,275,0.11170962475055471
24,1255,820,0.23585792144333773,0.17413463580378,435,0.08869318865176197
25,1309,1032,0.24600638977635783,0.2191548099384158,277,0.13498794531947964
26,1304,1107,0.24506671678255967,0.235081758335103,197,0.15277556319901597
27,1213,838,0.2279646682954332,0.17795710341898494,375,0.12262286244796503
28,1270,902,0.2386769404247322,0.19154809938415798,368,0.14342711230678035
29,1260,777,0.23679759443713588,0.16500318538967934,483,0.1282447601508375
30,1300,871,0.24431497838752114,0.18496496071352728,429,0.1429852696023475
31,1309,919,0.24600638977635783,0.1951582076874071,390,0.14263981312447244
32,1310,801,0.24619432437511746,0.17009980887661924,509,0.1213033350268892
33,1293,782,0.24299943619620373,0.16606498194945848,511,0.11221570142645308
35,1329,803,0.24976508175155046,0.1705245275005309,526,0.09279667126701958
36,1457,911,0.27382071039278333,0.19345933319176045,546,0.1333419848814197
37,1366,650,0.25671866190565684,0.138033552771289,716,0.11147421194714514
38,1451,750,0.2726931028002255,0.15926948396687196,701,0.13336513823590518
39,1361,476,0.2557789889118587,0.10108303249097472,885,0.052099457015798135
40,1369,570,0.25728246570193575,0.12104480781482269,799,0.11057233634716546
42,1240,578,0.23303890246194325,0.12274368231046931,662,0.12694499891777494
43,1251,649,0.2351061830482992,0.1378211934593332,602,0.1800224165844406
44,1261,623,0.2369855290358955,0.13229985134848163,638,0.12839642269353788
45,1285,640,0.24149595940612667,0.13590995965173072,645,0.1545386411963607
46,1232,587,0.2315354256718662,0.12465491611807178,645,0.1511822787477135
47,1122,549,0.2108626198083067,0.11658526226375027,573,0.15660237810775446
48,1035,475,0.19451230971621875,0.1008706731790189,560,0.14273824386183936
49,988,511,0.18567938357451608,0.10851560840942875,477,0.16083659145508503
50,864,470,0.16237549332832174,0.09980887661923975,394,0.18009268795056643
51,790,386,0.148468333020109,0.0819706944149501,404,0.12691312833250848
52,738,419,0.13869573388460815,0.08897855170949247,319,0.15681486585069304
54,632,339,0.11877466641608721,0.07198980675302612,293,0.08629292014904949
55,581,359,0.109190001879346,0.0762369929921427,222,0.1317630285298442
56,527,323,0.09904153354632587,0.06859205776173286,204,0.16432126734245034
57,487,260,0.09152414959594062,0.05521342110851561,227,0.13302777028848747
58,460,280,0.08644991542943056,0.05946060734763219,180,0.16595554038486154
59,443,268,0.08325502725051682,0.05691229560416224,175,0.16554954775371888
60,399,246,0.07498590490509303,0.052240390741134,153,0.16966623948292195
61,364,247,0.06840819394850592,0.05245275005308983,117,0.19313802196528443
62,323,231,0.06070287539936102,0.04905500106179656,92,0.20482300635938994
64,219,194,0.041157677128359334,0.041197706519430874,25,0.21264633071791214
66,153,146,0.02875399361022364,0.03100445954555107,7,0.16757337151037938
67,148,144,0.027814320616425484,0.030579740921639415,4,0.14702968715048093
68,151,121,0.02837812441270438,0.02569547674665534,30,0.1312640410801889
69,140,119,0.02631084382634843,0.02527075812274368,21,0.13591449889090543
