slice,total_cells,proportion_Zeng_recip_calls,proportion_Mac_recip_calls,cells_with_matching_reciprocal_calls,detected_reciprocal_clusters,proportion_of_all_reciprocals
1,26217,0.5390395544875463,0.37143837967730864,0.2890109470953961,166,0.08266932270916334
2,29286,0.5536775250973162,0.3544697124906098,0.29242641535204533,193,0.09611553784860558
3,36028,0.4881758632174975,0.32172199400466306,0.24236704785167093,225,0.11205179282868526
4,47445,0.6361681947518179,0.46630835704499946,0.38941932764253345,259,0.12898406374501992
5,50990,0.6159639144930379,0.40003922337713277,0.3314963718376152,273,0.13595617529880477
6,50883,0.596210915236916,0.4292592810958473,0.33545584969439696,245,0.12201195219123506
8,51941,0.5672397527964421,0.396584586357598,0.3051539246452706,225,0.11205179282868526
9,75870,0.6071965203637801,0.4143271385264268,0.34995386845920656,224,0.11155378486055777
10,50248,0.4311813405508677,0.2833346600859736,0.1946545136124821,228,0.11354581673306773
11,54934,0.5117231586995303,0.3738122110168566,0.28100993919976697,211,0.1050796812749004
12,59450,0.47564339781328846,0.3136417157275021,0.22306139613120268,205,0.10209163346613546
13,80101,0.6325763723299335,0.5119911112220821,0.4272480992746657,198,0.09860557768924302
14,101446,0.6837135027502317,0.5445754391498926,0.47985134948642627,254,0.12649402390438247
15,87076,0.5950204419128118,0.44736781661996416,0.35319720703753044,332,0.16533864541832669
16,93437,0.5280670398236245,0.3680875884285668,0.29132998705009794,351,0.17480079681274902
17,68236,0.4660736268245501,0.2476698516911894,0.17246028489360454,424,0.21115537848605578
18,51224,0.4324730595033578,0.19939871935030454,0.11795252225519288,488,0.24302788844621515
19,71659,0.3913814035920122,0.2482451611102583,0.11170962475055471,656,0.32669322709163345
24,74831,0.3419438468014593,0.2298779917413906,0.08869318865176197,625,0.3112549800796813
25,81711,0.39399836007391903,0.3269572028245891,0.13498794531947964,671,0.3341633466135458
26,87802,0.3841598141272408,0.3787043575317191,0.15277556319901597,665,0.33117529880478086
27,66782,0.35813542571351564,0.33510526788655626,0.12262286244796503,604,0.300796812749004
28,87724,0.36060827139665314,0.3795768546805891,0.14342711230678035,611,0.3042828685258964
29,91224,0.3513987547136718,0.30622423923528896,0.1282447601508375,589,0.29332669322709165
30,102577,0.3536270314008014,0.36409721477524204,0.1429852696023475,617,0.30727091633466136
31,101886,0.36438764894097325,0.36374968101603755,0.14263981312447244,621,0.3092629482071713
32,104317,0.3575352051918671,0.32606382468821,0.1213033350268892,595,0.2963147410358566
33,95762,0.3489171069944237,0.30157056034752827,0.11221570142645308,584,0.2908366533864542
35,97094,0.28726800832183247,0.2593466125610233,0.09279667126701958,521,0.2594621513944223
36,123292,0.31418096875709695,0.35419167504785387,0.1333419848814197,552,0.2749003984063745
37,98534,0.30626991698297035,0.28603324740698644,0.11147421194714514,483,0.2405378486055777
38,129959,0.313137220200217,0.3709862341199917,0.13336513823590518,499,0.24850597609561753
39,81402,0.26934227660254045,0.14300631434117098,0.052099457015798135,419,0.20866533864541834
40,114251,0.33298614454140446,0.2761463794627618,0.11057233634716546,435,0.21663346613545817
42,83162,0.3448450013227195,0.31296746110002166,0.12694499891777494,424,0.21115537848605578
43,104387,0.38274880971768516,0.4377364997557167,0.1800224165844406,432,0.2151394422310757
44,128812,0.32136757444958547,0.30365959693196287,0.12839642269353788,430,0.21414342629482072
45,114748,0.34377941227733816,0.3571826959947014,0.1545386411963607,431,0.2146414342629482
46,104417,0.3333365256615302,0.3691257170767212,0.1511822787477135,399,0.19870517928286852
47,87885,0.34484838140752117,0.38756329293963704,0.15660237810775446,359,0.17878486055776893
48,81702,0.3381557367016719,0.3694646397884997,0.14273824386183936,320,0.1593625498007968
49,106145,0.34381270903010036,0.44546610768288664,0.16083659145508503,322,0.1603585657370518
50,97100,0.35388259526261584,0.4861071060762101,0.18009268795056643,308,0.15338645418326693
51,107089,0.33366638963852496,0.3399322059221769,0.12691312833250848,273,0.13595617529880477
52,98696,0.32564642943989625,0.4577287833346843,0.15681486585069304,281,0.1399402390438247
54,95002,0.2809098755815667,0.28647817940674936,0.08629292014904949,245,0.12201195219123506
55,67333,0.3269570641438819,0.3997445531908574,0.1317630285298442,243,0.12101593625498008
56,60473,0.3460552643328428,0.45316091478841797,0.16432126734245034,220,0.10956175298804781
57,55635,0.3589826548036308,0.38594409993708995,0.13302777028848747,181,0.0901394422310757
58,46874,0.37652003242735843,0.4818022784486069,0.16595554038486154,187,0.09312749003984064
59,40133,0.37368250566865174,0.46500386215832357,0.16554954775371888,195,0.09711155378486055
60,35894,0.39769877974034656,0.4108764696049479,0.16966623948292195,171,0.08515936254980079
61,34509,0.4069373206989481,0.4622852009620679,0.19313802196528443,164,0.08167330677290836
62,35538,0.4452135742022624,0.45509032584838766,0.20482300635938994,153,0.07619521912350598
64,23833,0.4743422984936852,0.49334955733646624,0.21264633071791214,118,0.05876494023904383
66,27940,0.49133858267716535,0.4584466714387974,0.16757337151037938,83,0.04133466135458167
67,31293,0.5054165468315598,0.41472533793500144,0.14702968715048093,88,0.043824701195219126
68,21811,0.505524735225345,0.3669249461281005,0.1312640410801889,81,0.04033864541832669
69,14877,0.47879276735901055,0.4342273307790549,0.13591449889090543,81,0.04033864541832669
