region_remap,cluster_count_cells,cell_count_cells,median_cells_per_cluster_cells,Dataset_cells,cluster_count_nucleus,cell_count_nucleus,median_cells_per_cluster_nucleus,Dataset_nucleus
ACA,407,102798,39,Cells,199,119307,14,Nuclei
AUD,365,70566,32,Cells,206,129453,16.5,Nuclei
BS,1660,329017,40,Cells,2468,674619,48,Nuclei
CB,196,182006,5,Cells,181,566290,6,Nuclei
ENT,524,110248,19.5,Cells,459,192866,20,Nuclei
HPF,420,176189,25,Cells,411,151474,7,Nuclei
HY,1904,262264,45.5,Cells,1240,109517,14,Nuclei
LSX,634,53823,6,Cells,323,36279,7,Nuclei
MB,1858,367179,51,Cells,2732,696170,33,Nuclei
MOp,404,247660,56.5,Cells,330,164819,7,Nuclei
OLF,933,281503,21,Cells,428,179563,7,Nuclei
PAL,1238,108049,11,Cells,751,147933,9,Nuclei
RSP,388,112279,31,Cells,269,146733,11,Nuclei
S1,297,75855,19,Cells,119,48482,23,Nuclei
STRd,238,55626,6,Cells,82,45812,6,Nuclei
SUB,528,102041,19,Cells,354,27813,6,Nuclei
TH,1088,261046,9,Cells,1214,427206,17,Nuclei
VIS,418,261090,57,Cells,477,49556,4,Nuclei
VISP,324,60834,20,Cells,305,62088,11,Nuclei
